,Dates,Home_teams,Score,Away_team
527,12-11-2022,Tottenham,4 - 3,Leeds
528,01-01-2023,Tottenham,0 - 2,Aston Villa
529,15-01-2023,Tottenham,0 - 2,Arsenal
530,05-02-2023,Tottenham,1 - 0,Man City
531,19-02-2023,Tottenham,2 - 0,West Ham
532,26-02-2023,Tottenham,2 - 0,Chelsea
533,11-03-2023,Tottenham,3 - 1,Nott'm Forest
534,08-04-2023,Tottenham,2 - 1,Brighton
535,15-04-2023,Tottenham,? - ?,Bournemouth
536,14-08-2022,Chelsea,2 - 2,Tottenham
537,28-08-2022,Nott'm Forest,0 - 2,Tottenham
538,31-08-2022,West Ham,1 - 1,Tottenham
539,01-10-2022,Arsenal,3 - 1,Tottenham
540,08-10-2022,Brighton,0 - 1,Tottenham
541,19-10-2022,Man United,2 - 0,Tottenham
542,29-10-2022,Bournemouth,2 - 3,Tottenham
543,26-12-2022,Brentford,2 - 2,Tottenham
544,04-01-2023,Crystal Palace,0 - 4,Tottenham
545,19-01-2023,Man City,4 - 2,Tottenham
546,23-01-2023,Fulham,0 - 1,Tottenham
547,11-02-2023,Leicester,4 - 1,Tottenham
548,04-03-2023,Wolves,1 - 0,Tottenham
549,18-03-2023,Southampton,3 - 3,Tottenham
550,03-04-2023,Everton,1 - 1,Tottenham
551,07-08-2022,West Ham,0 - 2,Man City
552,21-08-2022,West Ham,0 - 2,Brighton
553,31-08-2022,West Ham,1 - 1,Tottenham
554,01-10-2022,West Ham,2 - 0,Wolves
555,09-10-2022,West Ham,3 - 1,Fulham
556,24-10-2022,West Ham,2 - 0,Bournemouth
557,06-11-2022,West Ham,1 - 2,Crystal Palace
558,12-11-2022,West Ham,0 - 2,Leicester
559,30-12-2022,West Ham,0 - 2,Brentford
560,21-01-2023,West Ham,2 - 0,Everton
561,11-02-2023,West Ham,1 - 1,Chelsea
562,25-02-2023,West Ham,4 - 0,Nott'm Forest
563,12-03-2023,West Ham,1 - 1,Aston Villa
564,02-04-2023,West Ham,1 - 0,Southampton
565,05-04-2023,West Ham,1 - 5,Newcastle
566,16-04-2023,West Ham,? - ?,Arsenal
567,14-08-2022,Nott'm Forest,1 - 0,West Ham
568,28-08-2022,Aston Villa,0 - 1,West Ham
569,03-09-2022,Chelsea,2 - 1,West Ham
570,18-09-2022,Everton,1 - 0,West Ham
571,16-10-2022,Southampton,1 - 1,West Ham
572,19-10-2022,Liverpool,1 - 0,West Ham
573,30-10-2022,Man United,1 - 0,West Ham
574,26-12-2022,Arsenal,3 - 1,West Ham
575,04-01-2023,Leeds,2 - 2,West Ham
576,14-01-2023,Wolves,1 - 0,West Ham
577,04-02-2023,Newcastle,1 - 1,West Ham
578,19-02-2023,Tottenham,2 - 0,West Ham
579,04-03-2023,Brighton,4 - 0,West Ham
580,08-04-2023,Fulham,0 - 1,West Ham
581,13-08-2022,Wolves,0 - 0,Fulham
582,28-08-2022,Wolves,1 - 1,Newcastle
583,03-09-2022,Wolves,1 - 0,Southampton
584,17-09-2022,Wolves,0 - 3,Man City
585,15-10-2022,Wolves,1 - 0,Nott'm Forest
586,23-10-2022,Wolves,0 - 4,Leicester
587,05-11-2022,Wolves,2 - 3,Brighton
588,12-11-2022,Wolves,0 - 2,Arsenal
589,31-12-2022,Wolves,0 - 1,Man United
590,14-01-2023,Wolves,1 - 0,West Ham
591,04-02-2023,Wolves,3 - 0,Liverpool
592,18-02-2023,Wolves,0 - 1,Bournemouth
593,04-03-2023,Wolves,1 - 0,Tottenham
594,18-03-2023,Wolves,2 - 4,Leeds
595,08-04-2023,Wolves,1 - 0,Chelsea
596,15-04-2023,Wolves,? - ?,Brentford
597,06-08-2022,Leeds,2 - 1,Wolves
598,20-08-2022,Tottenham,1 - 0,Wolves
599,31-08-2022,Bournemouth,0 - 0,Wolves
600,01-10-2022,West Ham,2 - 0,Wolves
601,08-10-2022,Chelsea,3 - 0,Wolves
602,18-10-2022,Crystal Palace,2 - 1,Wolves
603,29-10-2022,Brentford,1 - 1,Wolves
604,26-12-2022,Everton,1 - 2,Wolves
605,04-01-2023,Aston Villa,1 - 1,Wolves
606,22-01-2023,Man City,3 - 0,Wolves
607,11-02-2023,Southampton,1 - 2,Wolves
608,24-02-2023,Fulham,1 - 1,Wolves
609,01-03-2023,Liverpool,2 - 0,Wolves
610,12-03-2023,Newcastle,2 - 1,Wolves
611,01-04-2023,Nott'm Forest,1 - 1,Wolves
